fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
2,cosine,100,3.5,1.0157577534848008,coarse,1.0,2.5,2.5
2,cpcc,10,5.5,0.65824410345517,coarse,1.7500000000000009,3.749999999999999,3.749999999999999
2,cpcc,20,9.0,0.6647479644909899,coarse,3.5,5.5,5.5
2,cpcc,30,9.0,0.6697313005838677,coarse,4.0,5.0,5.0
2,cpcc,40,9.0,0.6726993024290411,coarse,5.5,3.5,3.5
2,cpcc,50,10.0,0.6745893824976251,coarse,5.5,4.5,4.5
2,cpcc,60,10.0,0.6757191386010801,coarse,5.5,4.5,4.5
2,cpcc,70,10.0,0.6765138136820238,coarse,5.5,4.5,4.5
2,cpcc,80,10.0,0.6770992495211908,coarse,5.5,4.5,4.5
2,cpcc,90,10.0,0.6775264974379186,coarse,5.5,4.5,4.5
2,cpcc,100,10.0,0.6778384036860653,coarse,6.0,4.0,4.0
2,euclidean,10,3.5,0.7160439230556,coarse,2.7499999999999973,0.7500000000000027,0.7500000000000027
